Hemera v.2.50.1.20 - Relatório gerado em: 07/02/2024 21:03,,,,,Data da última sumarização: 07/02/2024 19:21:15,,,,,
CAS Hemera - Relatório de disponibilidade,,,,,,,,,,
Filtros:,"Data = 28/01/2024 00:00:00 até 28/01/2024 23:59:59
Medidores = nenhum valor selecionado
Controladores = SDO, SDL, SDT, SDN, SDC
Grupos de Cliente = SDL, SDO, SDC, PGO, IRT, UVI, TEL, SDN, SDT",,,,,,,,,
Cliente,,Ponto de medição,Medidor,Telemetria (MIN),,Ip,Porta,Endereço,Telemetria (SSN),Disponibilidade
SDC-IRT-106449745-GVILLE ,,106449745-GVILLE ,40621285,4491652548,,,,Sem endereço,89550642329000762901,"100,00%"
SDC-IRT-106549898-,,106549898-COOPAGRICOLA ,40620500,,,,,Sem endereço,,"0,00%"
SDC-IRT-106549898-,,106549898-COOPAGRICOLA ,41683348,,,,,Sem endereço,,"0,00%"
SDC-IRT-106579355-GRALHA ,,106579355-GRALHA AZUL ,40621300,41997838148,,,,Sem endereço,89550447000006223118,"100,00%"
SDC-IRT-106605135-GRALHA ,,106605135-GRALHA AZUL ,35600271,41992561279,,,,Sem endereço,89550680157003245803,"100,00%"
SDC-IRT-106615564-,,106615564-CONSTRUTORA ,40622035,42999269928,,,,Sem endereço,89555480000026820403,"100,00%"
SDC-IRT-106623591-C J PORTAS ,,106623591-C J PORTAS ,40620842,4491610478,,,,Sem endereço,89550640129001648659,"100,00%"
SDC-IRT-106640208-PEDREIRA ,,106640208-PEDREIRA SAO ,26600152,,,,,Sem endereço,,"0,00%"
SDC-IRT-106640208-PEDREIRA ,,106640208-PEDREIRA SAO ,40625371,,,,,Sem endereço,,"100,00%"
SDC-IRT-106718550-BRATEN ,,106718550-BRATEN ,40624763,41992584006,,,,Sem endereço,89550680157003245845,"100,00%"
SDC-IRT-106822250-CHIMARRA ,,106822250-CHIMARRA ,40622606,41991358853,,,,Sem endereço,89550680257001098996,"100,00%"
SDC-IRT-106868870-,,106868870-METALURGICA ,40622843,41992616774,,,,Sem endereço,89550680157003245894,"100,00%"
SDC-IRT-107173115-COMPANHIA ,,107173115-COMPANHIA DE ,40625439,41997830463,,,,Sem endereço,89550447000006220759,"100,00%"
SDC-IRT-107349493-SANTA ,,107349493-SANTA CLARA ,40624745,,,,,Sem endereço,,"0,00%"
SDC-IRT-107349493-SANTA ,,107349493-SANTA CLARA ,40625144,41997832003,,,,Sem endereço,89550447000006249444,"100,00%"
SDC-IRT-107485370-ASSOCIACAO ,,107485370-ASSOCIACAO ,40622716,41991643509,,,,Sem endereço,89550680247001187121,"100,00%"
SDC-IRT-107688883-PITTNER ,,107688883-PITTNER PITTNER ,40625528,41998806620,,,,Sem endereço,89550447000006223225,"100,00%"
SDC-IRT-107750171-R MINAS ,,107750171-R MINAS LTDA,40622051,41991256732,,,,Sem endereço,89550680157012174358,"100,00%"
SDC-IRT-107754010-,,107754010-COOPERATIVA ,40625341,,,,,Sem endereço,,"0,00%"
SDC-IRT-107755297-MARINES ,,107755297-MARINES ARAUJO ,31602173,41997832535,,,,Sem endereço,89550447000006249527,"100,00%"
SDC-IRT-107794225-S A ,,107794225-S A MOAGEIRA E ,40620824,41992827952,,,,Sem endereço,89550680157003701904,"100,00%"
SDC-IRT-107803372-,,107803372-LAMINADORA E ,40620655,41992560119,,,,Sem endereço,89550680157003245787,"100,00%"
SDC-IRT-107858274-BOA ,,107858274-BOA VENTURA ,40625548,41992470509,,,,Sem endereço,89550680157003245514,"100,00%"
SDC-IRT-107889897-UB CAMPO ,,107889897-UB CAMPO REAL ,40624754,89550447000000711746,,,,Sem endereço,89550447000000711746,"100,00%"
SDC-IRT-107901480-ENERGISA ,,107901480-ENERGISA SUL ,20032200,,,,,Sem endereço,,"0,00%"
SDC-IRT-107988615-E J ,,107988615-E J LATICINIOS ,40622037,11997416390,,,,Sem endereço,89551080157046773195,"100,00%"
SDC-IRT-107988615-E J ,,107988615-E J LATICINIOS ,40624720,,,,,Sem endereço,,"0,00%"
SDC-IRT-108310973-LATICINIO ,,108310973-LATICINIO ,40622020,41997834048,,,,Sem endereço,89550447000006223373,"100,00%"
SDC-IRT-108364968-,,108364968-SUPERMERCADO ,40624786,,,,,Sem endereço,,"0,00%"
SDC-IRT-108364968-,,108364968-SUPERMERCADO ,40682841,,,,,Sem endereço,,"0,00%"
SDC-IRT-108373193-DITZEL ,,108373193-DITZEL SANCHES ,40621997,89550447000000711688,,,,Sem endereço,89550447000000711688,"100,00%"
SDC-IRT-108480372-A J BOBATO ,,108480372-A J BOBATO LTDA,40624722,,,,,Sem endereço,,"0,00%"
SDC-IRT-108480372-A J BOBATO ,,108480372-A J BOBATO LTDA,41683149,,,,,Sem endereço,,"0,00%"
SDC-IRT-108493709-CARLOS ,,108493709-CARLOS LECZUK,40622853,41991716128,,,,Sem endereço,89550680247001187329,"100,00%"
SDC-IRT-108683974-LUIZ ,,108683974-LUIZ FERNANDO ,40624762,41991752552,,,,Sem endereço,89550680247001187451,"100,00%"
SDC-IRT-108841995-EDIMILSON ,,108841995-EDIMILSON ,40623030,,,,,Sem endereço,,"100,00%"
SDC-IRT-108863026-COMPANHIA ,,108863026-COMPANHIA DE ,40625140,41991612670,,,,Sem endereço,89550680157014606506,"100,00%"
SDC-IRT-109034333-COMPANHIA ,,109034333-COMPANHIA DE ,40625491,41992699208,,,,Sem endereço,89550680157014759743,"100,00%"
SDC-IRT-109129792-RNT ,,109129792-RNT EMBALAGENS ,40623028,41991225434,,,,Sem endereço,89550680157012129246,"100,00%"
SDC-IRT-109194098-ELOI JOSE ,,109194098-ELOI JOSE ,40622854,41997833091,,,,Sem endereço,89550447000006223274,"100,00%"
SDC-IRT-109230981-GOIOXIM ,,109230981-GOIOXIM ,40624715,89550447000000711878,,,,Sem endereço,89550447000000711878,"100,00%"
SDC-IRT-109239709-MUNICIPIO ,,109239709-MUNICIPIO DE ,40625120,42988748103,,,,Sem endereço,89550532420013882225,"100,00%"
SDC-IRT-109247248-PLASTENGE ,,109247248-PLASTENGE ,40621999,41991185548,,,,Sem endereço,89550680157012129055,"100,00%"
SDC-IRT-109401956-,,109401956-CONFLUENCIA ,40625326,,,,,Sem endereço,,"0,00%"
null,,,,,,,,,,
Hemera v.2.50.1.20 - Relatório gerado em: 07/02/2024 21:03,,,,,,,,,,
Hemera v.2.50.1.20 - Relatório gerado em: 07/02/2024 21:03,,,,,Data da última sumarização: 07/02/2024 19:21:15,,,,,
CAS Hemera - Relatório de disponibilidade,,,,,,,,,,
Filtros:,"Data = 28/01/2024 00:00:00 até 28/01/2024 23:59:59
Medidores = nenhum valor selecionado
Controladores = SDO, SDL, SDT, SDN, SDC
Grupos de Cliente = SDL, SDO, SDC, PGO, IRT, UVI, TEL, SDN, SDT",,,,,,,,,
Cliente,,Ponto de medição,Medidor,Telemetria (MIN),,Ip,Porta,Endereço,Telemetria (SSN),Disponibilidade
SDC-IRT-109430867-MUNICIPIO ,,109430867-MUNICIPIO DE ,40622587,41988824116,,,,Sem endereço,89550537420005445085,"100,00%"
SDC-IRT-109495985-,,109495985-LAMINADORA ,40622025,41991254714,,,,Sem endereço,89550680157012174333,"100,00%"
SDC-IRT-109551770-BARRA ,,109551770-BARRA BONITA ,40625111,,,,,Sem endereço,,"100,00%"
SDC-IRT-109567943-RICARDO ,,109567943-RICARDO ,40623010,41997833573,,,,Sem endereço,89550447000006285794,"100,00%"
SDC-IRT-109675185-COMPANHIA ,,109675185-COMPANHIA DE ,40625126,41997836684,,,,Sem endereço,89550447000006223001,"100,00%"
SDC-IRT-109782909-COMPANHIA ,,109782909-COMPANHIA DE ,40625431,49989162699,,,,Sem endereço,89550532420013959015,"100,00%"
SDC-IRT-109795652-,,109795652-COOPERATIVA DE ,31607110,,,,,Sem endereço,,"100,00%"
SDC-IRT-109795652-,,109795652-COOPERATIVA DE ,40622001,,,,,Sem endereço,,"0,00%"
SDC-IRT-109795652-,,109795652-COOPERATIVA DE ,40625324,,,,,Sem endereço,,"0,00%"
SDC-IRT-109795652-,,109795652-COOPERATIVA DE ,40625463,,,,,Sem endereço,,"0,00%"
SDC-IRT-109795652-,,109795652-COOPERATIVA DE ,40625466,,,,,Sem endereço,,"0,00%"
SDC-IRT-109809114-FRIGORIFICO ,,109809114-FRIGORIFICO EJ ,40625129,41992513875,,,,Sem endereço,89550680157014689213,"100,00%"
SDC-IRT-109824792-JAILTON ,,109824792-JAILTON ,40625112,41997837434,,,,Sem endereço,89550447000006223258,"100,00%"
SDC-IRT-109834038-AMPERE DO ,,109834038-AMPERE DO ,40622027,41991213873,,,,Sem endereço,89550680157012129170,"100,00%"
SDC-IRT-109861140-MARTINS ,,109861140-MARTINS ,40625339,41992696199,,,,Sem endereço,89550680157014759727,"100,00%"
SDC-IRT-109895240-JACOMEL ,,109895240-JACOMEL ,40621994,41992704206,,,,Sem endereço,89550680157014759784,"100,00%"
SDC-IRT-110022009-MUNICIPIO ,,110022009-MUNICIPIO DE ,40624770,41998803897,,,,Sem endereço,89550447000006286198,"100,00%"
SDC-IRT-110075773-A R C ,,110075773-A R C LOGISTICA ,40622033,41997832310,,,,Sem endereço,89550447000006249469,"100,00%"
