UC,LATITUDE,LONGITUDE
78181968,-24.89273,-54.32263
99459981,-24.89284,-54.32137
46242651,-25.13474,-54.32116
39830292,-24.85697,-54.32092
34626913,-25.13254,-54.32041
89507690,-25.13019,-54.31864
91867797,-25.03192,-54.31719
27678571,-24.49099,-54.31407
29705940,-24.91262,-54.31255
56860340,-25.15639,-54.31142
98576992,-24.75578,-54.31104
28301137,-24.79981,-54.30936
69001146,-24.92793,-54.30602
49317520,-25.13852,-54.30374
94255725,-25.13755,-54.30352
81747802,-25.13678,-54.30145
49036378,-25.13656,-54.30086
93547471,-25.15762,-54.30043
94295816,-25.40684,-54.29858
46563784,-25.14153,-54.29728
102393117,-24.97307,-54.29011
38614677,-25.26317,-54.2892
92944191,-24.78725,-54.28671
75664186,-25.37884,-54.28487
34232419,-25.15371,-54.2822
99696517,-25.15379,-54.28162
39334635,-25.15654,-54.28101
100634362,-25.15284,-54.28074
90009371,-24.67405,-54.28042
46289720,-25.36925,-54.27997
36942901,-24.67305,-54.27955
40313247,-25.38853,-54.27915
58591079,-25.3944,-54.27263
43041779,-25.40128,-54.27032
91511640,-25.08419,-54.27018
22035052,-25.3741,-54.26973
70447330,-25.33202,-54.26825
9788190,-24.08507,-54.26628
33914443,-24.08682,-54.26608
41755138,-25.33696,-54.26592
40001997,-25.16019,-54.2659
47893940,-25.16005,-54.2651
84930802,-24.78429,-54.26509
59853360,-24.07723,-54.26494
63016818,-25.16001,-54.26461
97244333,-24.08469,-54.26451
95729607,-25.15993,-54.26419
20800681,-24.07641,-54.26369
49773674,-24.12728,-54.26313
32098120,-24.09536,-54.2631
91599083,-25.07732,-54.26264
92170170,-24.25512,-54.2616
9788166,-24.07973,-54.26079
9788115,-24.08293,-54.25948
100815804,-24.97699,-54.25693
80317146,-25.17634,-54.25683
54202930,-25.08721,-54.25669
92077030,-24.0966,-54.25662
86827405,-24.08472,-54.25595
29503701,-24.08472,-54.25595
98355422,-24.97857,-54.25593
39545377,-24.0768,-54.25589
99341778,-24.08538,-54.25564
63249421,-25.08834,-54.25535
61608025,-24.08209,-54.25495
67878202,-24.08171,-54.25486
9788131,-24.07772,-54.25441
68909306,-24.08014,-54.25425
61323497,-25.36072,-54.25402
95020179,-24.07594,-54.25348
99053489,-25.35838,-54.25327
90627946,-24.08717,-54.2532
28731921,-25.05531,-54.25219
21760667,-24.08338,-54.25211
90540514,-24.08479,-54.25199
81826710,-24.71387,-54.25172
88471578,-24.7172,-54.25163
91373093,-25.35786,-54.25135
35766514,-25.34252,-54.25097
68906161,-25.35945,-54.24947
82357951,-24.08632,-54.24852
102899541,-24.5877,-54.24814
22415580,-25.36021,-54.2477
54235138,-24.3902,-54.24751
23890118,-25.09233,-54.24736
40991733,-24.71013,-54.24735
48885835,-24.08352,-54.24671
78740789,-25.34272,-54.24617
59359102,-25.34785,-54.24574
99239264,-24.40338,-54.24526
50288210,-24.70114,-54.24487
36344320,-24.08223,-54.2448
101126247,-24.61967,-54.24469
82629234,-24.40324,-54.24449
92168213,-24.08249,-54.24402
82337128,-24.61927,-54.24388
100257143,-25.35472,-54.24325
45920435,-24.70628,-54.24316
99927330,-24.08364,-54.24315
92164226,-25.34413,-54.24272
40190412,-25.34699,-54.24249
91488729,-25.3419,-54.24236
62472755,-24.70839,-54.24219
96817887,-24.70246,-54.24207
22863435,-24.10837,-54.24206
99109077,-25.34823,-54.24143
28103270,-24.70896,-54.24117
53829301,-24.12066,-54.24116
93036817,-24.08878,-54.24094
41292510,-24.13015,-54.24087
27895599,-24.09157,-54.24087
55512780,-24.71087,-54.24053
27285065,-25.09233,-54.23965
79467750,-24.09078,-54.23947
44897073,-25.3437,-54.23912
54911079,-24.71107,-54.23904
43516084,-25.34419,-54.23875
