estacao,operadora,municipio,latitude_antena,longitude_antena,tecs
1000094240,Claro,Londrina,-23.3125,-51.14686,3G 4G
1000094453,Claro,Londrina,-23.28613,-51.15202,3G 4G
1000097274,Vivo,Curitiba,-25.44833,-49.27611,2G 3G 4G
1000117410,Tim,Bom Sucesso Do Sul,-26.09694,-52.87583,3G 4G
1000117488,Tim,Bom Jesus Do Sul,-26.172556,-53.560111,3G 4G
1000117577,Tim,Apucarana,-23.57556,-51.55167,3G 4G
1000117623,Tim,Araruna,-23.968161,-52.55535,3G
1000117631,Tim,Cruzeiro Do Iguacu,-25.608306,-53.133333,3G 4G
1000117682,Tim,Cambe,-23.179333,-51.283528,3G 4G
1000120810,Tim,Flor Da Serra Do Sul,-26.246556,-53.366858,3G
1000133203,Tim,Bela Vista Da Caroba,-25.88278,-53.6675,3G 4G
1000133521,Tim,Dois Vizinhos,-25.846361,-53.109583,3G
1000133602,Tim,Eneas Marques,-25.927056,-53.117556,3G 4G
1000134188,Tim,Flor Da Serra Do Sul,-26.241497,-53.228906,3G
1000134250,Tim,Dois Vizinhos,-25.703972,-53.102806,3G 4G
1000134722,Tim,Antonio Olinto,-25.942697,-50.098764,3G
1000134846,Tim,Fernandes Pinheiro,-25.516864,-50.462097,3G
1000134870,Tim,Assis Chateaubriand,-24.50194,-53.56889,3G
1000134900,Tim,Cambara,-22.972436,-50.071817,3G
1000135583,Tim,Assai,-23.37111,-50.815,3G 4G
1000135621,Tim,Francisco Alves,-24.057333,-53.824528,3G 4G
1000136083,Tim,Foz Do Jordao,-25.668778,-52.047306,3G 4G
1000136113,Tim,Farol,-24.114528,-52.632417,3G 4G
1000136199,Tim,Diamante Do Sul,-24.985167,-52.742528,2G 3G 4G
1000136210,Tim,Balsa Nova,-25.552419,-49.693481,3G
1000136229,Tim,Cantagalo,-25.231278,-52.154611,3G 4G
1000136237,Tim,Altamira Do Parana,-24.775472,-52.753222,3G 4G
1000136261,Tim,Assai,-23.4763,-50.897094,3G
1000136288,Tim,Contenda,-25.754833,-49.525306,3G 4G
1000136296,Tim,Amapora,-23.10917,-52.7875,3G 4G
1000136920,Tim,Altamira Do Parana,-24.83639,-52.63917,3G
1000136946,Tim,Cafeara,-22.833889,-51.715,3G 4G
1000136962,Tim,Cafezal Do Sul,-23.916667,-53.542389,3G 4G
1000136997,Tim,Campo Do Tenente,-25.978533,-49.662372,3G
1000137055,Tim,Florai,-23.311169,-52.393889,3G
1000137110,Tim,Cruzeiro Do Sul,-22.97139,-52.16167,3G 4G
1000137128,Tim,Assis Chateaubriand,-24.26417,-53.4975,3G
1000137195,Tim,Ramilandia,-25.038556,-54.044333,3G
1000137225,Tim,Alvorada Do Sul,-22.87389,-51.25694,3G
1000137276,Tim,Altonia,-23.860739,-53.935447,3G
1000137284,Tim,Boa Vista Da Aparecida,-25.380186,-53.416561,3G
1000137322,Tim,Foz Do Iguacu,-25.306294,-54.403789,3G 4G
1000137357,Tim,Alto Piquiri,-24.09528,-53.39278,3G
1000137365,Tim,Bandeirantes,-23.163803,-50.252089,3G
1000137403,Tim,Campo Bonito,-25.021222,-53.022722,3G 4G
1000137411,Tim,Diamante Do Sul,-25.070631,-52.703056,3G 4G
1000137500,Tim,Alto Paraiso,-23.51,-53.75556,3G 4G
1000137535,Tim,Conselheiro Mairinck,-23.605917,-50.123528,3G 4G
1000137586,Tim,Cidade Gaucha,-23.40056,-52.95917,3G
1000137616,Tim,Bom Sucesso,-23.704647,-51.827003,3G
1000137659,Tim,Diamante Do Norte,-22.643583,-52.88425,3G
1000137683,Tim,Brasilandia Do Sul,-24.197833,-53.479,3G 4G
1000137713,Tim,Capitao Leonidas Marques,-25.497408,-53.51545,3G
1000137721,Tim,Diamante D Oeste,-24.922722,-54.123472,3G 4G
1000137730,Tim,Boa Esperanca,-24.24306,-52.72611,3G
1000138035,Tim,Campo Bonito,-24.809206,-52.982372,3G
1000138043,Tim,Bandeirantes,-23.1725,-50.396944,3G 4G
1000138078,Tim,Braganey,-24.752964,-53.037389,3G 4G
1000139279,Tim,Renascenca,-26.155639,-52.978556,3G 4G
1000144035,Tim,Cambira,-23.666856,-51.553208,3G
1000148391,Claro,Curitiba,-25.44819,-49.27677,2G 3G 4G
1000150302,Tim,Guamiranga,-25.135194,-50.845806,3G 4G
1000158826,Tim,Santo Antonio Do Caiua,-22.7375,-52.35083,3G 4G
1000159083,Tim,Jataizinho,-23.245197,-50.927653,3G 4G
1000161088,Tim,Rancho Alegre D Oeste,-24.229631,-52.887108,3G
1000161100,Tim,Quatro Barras,-25.346033,-48.970975,3G
1000161118,Tim,Ribeirao Do Pinhal,-23.48972,-50.34889,3G 4G
1000162904,Tim,Sao Joao Do Ivai,-24.01222,-51.81806,3G 4G
1000163072,Tim,Porto Rico,-22.775861,-53.262139,2G 3G 4G
1000163382,Tim,Sertanopolis,-23.117967,-51.119594,3G
1000163447,Tim,Rolandia,-23.25278,-51.47167,3G 4G
1000168732,Claro,Curitiba,-25.52333,-49.31833,2G 3G 4G
